date,vaccine,total_vaccinations,location
2021-07-08,Pfizer/BioNTech,2815299,Switzerland
2021-07-09,Pfizer/BioNTech,2829030,Switzerland
2021-07-10,Pfizer/BioNTech,2838369,Switzerland
2021-07-11,Pfizer/BioNTech,2840656,Switzerland
2021-07-12,Pfizer/BioNTech,2855267,Switzerland
2021-07-13,Pfizer/BioNTech,2868380,Switzerland
2021-07-14,Pfizer/BioNTech,2880751,Switzerland
2021-07-15,Pfizer/BioNTech,2891134,Switzerland
2021-07-16,Pfizer/BioNTech,2902184,Switzerland
2021-07-17,Pfizer/BioNTech,2909599,Switzerland
2021-07-18,Pfizer/BioNTech,2911001,Switzerland
2021-07-19,Pfizer/BioNTech,2925213,Switzerland
2021-07-20,Pfizer/BioNTech,2935862,Switzerland
2021-07-21,Pfizer/BioNTech,2945293,Switzerland
2021-07-22,Pfizer/BioNTech,2954527,Switzerland
2021-07-23,Pfizer/BioNTech,2964977,Switzerland
2021-07-24,Pfizer/BioNTech,2970625,Switzerland
2021-07-25,Pfizer/BioNTech,2971488,Switzerland
2021-07-26,Pfizer/BioNTech,2980937,Switzerland
2021-07-27,Pfizer/BioNTech,2988921,Switzerland
2021-07-28,Pfizer/BioNTech,2997582,Switzerland
2021-07-29,Pfizer/BioNTech,3005298,Switzerland
2021-07-30,Pfizer/BioNTech,3013916,Switzerland
2021-07-31,Pfizer/BioNTech,3017516,Switzerland
2021-08-01,Pfizer/BioNTech,3018530,Switzerland
2021-08-02,Pfizer/BioNTech,3026300,Switzerland
2021-08-03,Pfizer/BioNTech,3032873,Switzerland
2021-08-04,Pfizer/BioNTech,3040880,Switzerland
2021-08-05,Pfizer/BioNTech,3048340,Switzerland
2021-08-06,Pfizer/BioNTech,3056105,Switzerland
2021-08-07,Pfizer/BioNTech,3059833,Switzerland
2021-08-08,Pfizer/BioNTech,3060322,Switzerland
2021-08-09,Pfizer/BioNTech,3067655,Switzerland
2021-08-10,Pfizer/BioNTech,3074555,Switzerland
2021-08-11,Pfizer/BioNTech,3084065,Switzerland
2021-08-12,Pfizer/BioNTech,3092109,Switzerland
2021-08-13,Pfizer/BioNTech,3100031,Switzerland
2021-08-14,Pfizer/BioNTech,3104088,Switzerland
2021-08-15,Pfizer/BioNTech,3104380,Switzerland
2021-08-16,Pfizer/BioNTech,3112086,Switzerland
2021-08-17,Pfizer/BioNTech,3120486,Switzerland
2021-08-18,Pfizer/BioNTech,3131069,Switzerland
2021-08-19,Pfizer/BioNTech,3139223,Switzerland
2021-08-20,Pfizer/BioNTech,3148746,Switzerland
2021-08-21,Pfizer/BioNTech,3153880,Switzerland
2021-08-22,Pfizer/BioNTech,3154356,Switzerland
2021-08-23,Pfizer/BioNTech,3162635,Switzerland
2021-08-24,Pfizer/BioNTech,3171432,Switzerland
2021-08-25,Pfizer/BioNTech,3184334,Switzerland
2021-08-26,Pfizer/BioNTech,3193274,Switzerland
2021-08-27,Pfizer/BioNTech,3202415,Switzerland
2021-08-28,Pfizer/BioNTech,3210041,Switzerland
2021-08-29,Pfizer/BioNTech,3210327,Switzerland
2021-08-30,Pfizer/BioNTech,3219828,Switzerland
2021-08-31,Pfizer/BioNTech,3227859,Switzerland
2021-09-01,Pfizer/BioNTech,3241852,Switzerland
2021-09-02,Pfizer/BioNTech,3251128,Switzerland
2021-09-03,Pfizer/BioNTech,3261804,Switzerland
2021-09-04,Pfizer/BioNTech,3269324,Switzerland
2021-09-05,Pfizer/BioNTech,3270810,Switzerland
